Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/mawson-lakes/tvs/50-panasonic-viera-hdtv-digital-very-good-condition-working/1263043213,270.0,Mawson Lakes,2020-12-06,2020-12-06,Panasonic,Used,,,50.0,,
https://www.gumtree.com.au/s-ad/mulgrave/tvs/samsung-55-tv-for-parts-screen-damaged-/1263043170,80.0,Mulgrave,2020-12-06,2020-12-06,Samsung,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/pyrmont/tvs/panasonic-42-inches-plasma-tv-full-hd/1263043138,250.0,Pyrmont,2020-12-06,2020-12-06,Panasonic,Used,Plasma,40-49 in,42.0,1080p,
https://www.gumtree.com.au/s-ad/north-ryde/tvs/samsung-60-inch-smart-3d-fhd-200hz-slim-led-tv-all-accessories-all-the/1263042849,700.0,North Ryde,2020-12-06,2020-12-06,,Used,,,60.0,,
https://www.gumtree.com.au/s-ad/perth/tvs/tcl-55-139-cm-fhd-led-lcd-smart-tv/1263042831,450.0,Perth,2020-12-06,2020-12-06,TCL,Used,LED LCD,50-60 in,55.0,,
https://www.gumtree.com.au/s-ad/merrylands/tvs/sony-40-inch-full-hd-1080p-tv/1263042800,80.0,Merrylands,2020-12-06,2020-12-06,Sony,Used,LED,40-49 in,40.0,1080p,Contactless trade
https://www.gumtree.com.au/s-ad/west-hobart/tvs/18-5-palsonic-tv/1263042422,30.0,West Hobart,2020-12-06,2020-12-06,Other,Used,,Less than 20 in,18.0,,
https://www.gumtree.com.au/s-ad/kenmore/tvs/sony-40-ex520-series-full-hd-bravia-lcd-tv/1263042336,150.0,Kenmore,2020-12-06,2020-12-06,Sony,Used,LCD,40-49 in,40.0,1080p,
https://www.gumtree.com.au/s-ad/benalla/tvs/2020-samsung-4k-65-bought-brand-new-1500-want-1200-ono/1263042311,,Benalla,2020-12-06,2020-12-06,Samsung,New,LED LCD,50-60 in,65.0,2160p (4K),Contactless trade
https://www.gumtree.com.au/s-ad/ermington/tvs/lg-tv-stanf-55uf680t-55uh605t-55uh615t/1263042027,100.0,Ermington,2020-12-06,2020-12-06,,Used,,,,,
