Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Screen Size,COVID-19 Safety,Display Technology,Max. Resolution
https://www.gumtree.com.au/s-ad/waterways/tvs/panasonic-viera-full-hd-plasma-42-tv-excellent-conditions/1255823591,110.0,Waterways,2020-08-31,2020-08-31,Panasonic,Used,,Contactless trade,Plasma,1080p
https://www.gumtree.com.au/s-ad/jane-brook/tvs/65-inch-teac/1255823479,700.0,Jane Brook,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/carlton/tvs/lg-50pg70fd-50-inch-full-hd-plasma-tv-in-excellent-condition/1255823223,150.0,Carlton,2020-08-31,2020-08-31,LG,Used,50-60 in,Contactless trade,Plasma,1080p
https://www.gumtree.com.au/s-ad/kingsgrove/tvs/hitachi-led-smart-tv-49inch/1255822473,400.0,Kingsgrove,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/currawang/tvs/lg-tv-good-condition/1255822470,150.0,Currawang,2020-08-31,2020-08-31,LG,Used,,,,
https://www.gumtree.com.au/s-ad/sydney-city/tvs/tcl-c6us-49inch-smart-4k-quhd-led-lcd-android-tv/1255822167,450.0,Sydney City,2020-08-31,2020-08-31,TCL,Used,40-49 in,,LED LCD,2160p (4K)
https://www.gumtree.com.au/s-ad/byford/tvs/panasonic-viera-plasma-tv/1255822084,150.0,Byford,2020-08-31,2020-08-31,Panasonic,Used,40-49 in,Contactless trade,Plasma,1080p
https://www.gumtree.com.au/s-ad/st-kilda/tvs/kogan-32-led-smart-tv/1255820936,100.0,St Kilda,2020-08-31,2020-08-31,Kogan,Used,30-39 in,Contactless trade,LED,
https://www.gumtree.com.au/s-ad/fremantle/tvs/sharp-tv-32/1255821502,50.0,Fremantle,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/chisholm/tvs/42-106cm-hd-plasma-tv/1255821032,120.0,Chisholm,2020-08-31,2020-08-31,LG,Used,,,,
https://www.gumtree.com.au/s-ad/sheidow-park/tvs/samsung-40-101cm-full-hd-3d-led-tv-in-very-good-condition/1255821010,280.0,Sheidow Park,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,,
https://www.gumtree.com.au/s-ad/neutral-bay/tvs/small-tv/1255820931,20.0,Neutral Bay,2020-08-31,2020-08-31,,Used,,,,
